"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-19 00:01:35,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,,
2022-05-19 00:01:47,,,,,,,,,,,4.19,,,,,,,,,,,,,,,,,,,
2022-05-19 00:01:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
2022-05-19 00:02:28,,,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:03:05,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,
2022-05-19 00:03:18,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:03:23,,,,,,,,,,,,,,,,,,,5.25,,,,,,,,,,,
2022-05-19 00:05:16,,,,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:05:40,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,
2022-05-19 00:07:29,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:07:37,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:08:06,,,,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,
2022-05-19 00:08:08,,,,,,,,4.76,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:08:16,,,,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,
2022-05-19 00:09:18,,,,,,,,,,,,,,,,,,,,4.31,,,,,,,,,,
2022-05-19 00:09:21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,,,
2022-05-19 00:13:16,,,,,,,,,,,,,,,,,,4.77,,,,,,,,,,,,
2022-05-19 00:13:36,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
2022-05-19 00:14:04,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,,,,
2022-05-19 00:16:13,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
2022-05-19 00:16:43,,,,,,,,,,,,,,,,,,,,,,,,4.62,,,,,,
2022-05-19 00:16:51,,,,,,,,,,4.59,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:17:35,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:17:52,,,,,,,,,,,,,,,,,,,,,,5.19,,,,,,,,
2022-05-19 00:18:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,4.97
2022-05-19 00:18:55,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:19:18,,,,,,,,,,,,,,,,,4.90,,,,,,,,,,,,,
2022-05-19 00:19:37,,,,,,,,,,,,,,5.10,,,,,,,,,,,,,,,,
2022-05-19 00:20:14,,,,,4.78,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:21:34,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,,,,
2022-05-19 00:21:47,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,,,,
2022-05-19 00:21:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,
2022-05-19 00:22:28,,,,,,,,,4.76,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:23:05,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,
2022-05-19 00:23:18,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:23:23,,,,,,,,,,,,,,,,,,,5.25,,,,,,,,,,,
2022-05-19 00:25:40,,,,,,,,,,,,,,,4.51,,,,,,,,,,,,,,,
2022-05-19 00:27:29,,,,,,,4.76,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:27:37,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:28:06,,,,,,,,,,,,,,,,3.44,,,,,,,,,,,,,,
2022-05-19 00:28:08,,,,,,,,4.76,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 00:28:16,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,
2022-05-19 00:29:18,,,,,,,,,,,,,,,,,,,,4.30,,,,,,,,,,
2022-05-19 00:29:21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,,,
2022-05-19 00:33:16,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,
2022-05-19 00:33:36,,,,,,,,,,,,,,,,,,,,,,,3.99,,,,,,,
2022-05-19 00:34:04,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,,,,
2022-05-19 00:36:13,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,
2022-05-19 00:36:43,,,,,,,,,,,,,,,,,,,,,,,,4.60,,,,,,
2022-05-19 00:36:51,,,,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,
