"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-19 06:33:15,,,,,,,,,,,,,,,,,,5.23,,,,,,,,,,,,
2022-05-19 06:33:36,,,,,,,,,,,,,,,,,,,,,,,3.76,,,,,,,
2022-05-19 06:34:04,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,
2022-05-19 06:36:13,,,,,,,,,,,,,,,,,,,,,4.83,,,,,,,,,
2022-05-19 06:36:42,,,,,,,,,,,,,,,,,,,,,,,,4.13,,,,,,
2022-05-19 06:36:50,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:37:34,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:37:52,,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,,,
2022-05-19 06:38:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.33
2022-05-19 06:38:54,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:39:18,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,
2022-05-19 06:39:37,,,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,
2022-05-19 06:40:13,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:41:34,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,,,
2022-05-19 06:41:46,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,,
2022-05-19 06:43:04,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,
2022-05-19 06:43:17,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:43:23,,,,,,,,,,,,,,,,,,,4.40,,,,,,,,,,,
2022-05-19 06:45:15,,,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:45:40,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,
2022-05-19 06:47:29,,,,,,,4.72,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:47:37,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:48:05,,,,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,
2022-05-19 06:48:08,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:48:16,,,,,,,,,,,,,4.21,,,,,,,,,,,,,,,,,
2022-05-19 06:49:18,,,,,,,,,,,,,,,,,,,,4.16,,,,,,,,,,
2022-05-19 06:49:21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,,,
2022-05-19 06:53:15,,,,,,,,,,,,,,,,,,5.26,,,,,,,,,,,,
2022-05-19 06:53:36,,,,,,,,,,,,,,,,,,,,,,,3.77,,,,,,,
2022-05-19 06:54:04,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,
2022-05-19 06:56:13,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,
2022-05-19 06:56:43,,,,,,,,,,,,,,,,,,,,,,,,4.13,,,,,,
2022-05-19 06:56:50,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:57:34,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:57:52,,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,,,
2022-05-19 06:58:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,4.35
2022-05-19 06:58:55,,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 06:59:18,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,
2022-05-19 06:59:37,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,
2022-05-19 07:00:13,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:01:34,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,,,
2022-05-19 07:01:46,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,,
2022-05-19 07:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,
2022-05-19 07:02:28,,,,,,,,,5.20,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:03:04,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,
2022-05-19 07:03:16,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:03:23,,,,,,,,,,,,,,,,,,,4.41,,,,,,,,,,,
2022-05-19 07:05:15,,,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:05:40,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,
2022-05-19 07:07:29,,,,,,,4.73,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:07:37,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:08:05,,,,,,,,,,,,,,,,3.84,,,,,,,,,,,,,,
2022-05-19 07:08:08,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:08:16,,,,,,,,,,,,,4.23,,,,,,,,,,,,,,,,,
2022-05-19 07:09:18,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,
2022-05-19 07:09:21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,
2022-05-19 07:13:15,,,,,,,,,,,,,,,,,,5.29,,,,,,,,,,,,
2022-05-19 07:13:36,,,,,,,,,,,,,,,,,,,,,,,3.79,,,,,,,
2022-05-19 07:14:04,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,
2022-05-19 07:16:13,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,
2022-05-19 07:16:43,,,,,,,,,,,,,,,,,,,,,,,,4.14,,,,,,
2022-05-19 07:17:34,,,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:17:52,,,,,,,,,,,,,,,,,,,,,,4.86,,,,,,,,
2022-05-19 07:18:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,4.36
2022-05-19 07:18:55,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:19:18,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,
2022-05-19 07:19:37,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,
2022-05-19 07:20:13,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:21:34,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,
2022-05-19 07:21:46,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,,
2022-05-19 07:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,,
2022-05-19 07:22:28,,,,,,,,,5.23,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:23:04,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,
2022-05-19 07:23:17,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:23:23,,,,,,,,,,,,,,,,,,,4.43,,,,,,,,,,,
2022-05-19 07:25:15,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:25:40,,,,,,,,,,,,,,,3.13,,,,,,,,,,,,,,,
2022-05-19 07:27:28,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:27:36,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:28:06,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,
2022-05-19 07:28:08,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:28:16,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,
2022-05-19 07:29:18,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,
2022-05-19 07:29:21,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,,,
2022-05-19 07:33:15,,,,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,
2022-05-19 07:33:36,,,,,,,,,,,,,,,,,,,,,,,3.80,,,,,,,
2022-05-19 07:34:04,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,
2022-05-19 07:36:13,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,
2022-05-19 07:36:43,,,,,,,,,,,,,,,,,,,,,,,,4.14,,,,,,
2022-05-19 07:36:50,,,,,,,,,,3.60,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:37:34,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:37:52,,,,,,,,,,,,,,,,,,,,,,4.86,,,,,,,,
2022-05-19 07:38:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,4.38
2022-05-19 07:38:55,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19 07:39:18,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,
2022-05-19 07:39:37,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,
2022-05-19 07:41:33,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,
2022-05-19 07:41:46,,,,,,,,,,,4.02,,,,,,,,,,,,,,,,,,,
2022-05-19 07:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,,
