"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-24 12:07:19,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:07:29,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:07:53,,,,,,,,,,,,,,,,3.14,,,,,,,,,,,,,,
2022-05-24 12:07:59,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:08:10,,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,,
2022-05-24 12:09:05,,,,,,,,,,,,,,,,,,,,2.70,,,,,,,,,,
2022-05-24 12:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,
2022-05-24 12:13:13,,,,,,,,,,,,,,,,,,3.34,,,,,,,,,,,,
2022-05-24 12:13:33,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,,,
2022-05-24 12:13:52,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,
2022-05-24 12:16:05,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,
2022-05-24 12:16:32,,,,,,,,,,,,,,,,,,,,,,,,3.68,,,,,,
2022-05-24 12:16:39,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:17:27,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:17:45,,,,,,,,,,,,,,,,,,,,,,3.88,,,,,,,,
2022-05-24 12:18:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,3.50
2022-05-24 12:18:43,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:19:27,,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,,
2022-05-24 12:19:31,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,
2022-05-24 12:19:58,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 12:21:34,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,
2022-05-24 12:21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,
2022-05-24 12:22:32,,,,,,,,,3.10,,,,,,,,,,,,,,,,,,,,,
