"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-20 04:53:15,,,,,,,,,,,,,,,,,,4.35,,,,,,,,,,,,
2022-05-20 04:53:36,,,,,,,,,,,,,,,,,,,,,,,4.29,,,,,,,
2022-05-20 04:54:01,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,,,
2022-05-20 04:56:11,,,,,,,,,,,,,,,,,,,,,4.27,,,,,,,,,
2022-05-20 04:56:41,,,,,,,,,,,,,,,,,,,,,,,,4.74,,,,,,
2022-05-20 04:56:49,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,
2022-05-20 04:57:33,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20 04:57:51,,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,
2022-05-20 04:58:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,4.38
2022-05-20 04:58:53,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20 04:59:20,,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,
2022-05-20 04:59:36,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,,
2022-05-20 05:00:11,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20 05:01:31,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,
2022-05-20 05:01:44,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,
2022-05-20 05:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,,
2022-05-20 05:02:29,,,,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,
2022-05-20 05:03:03,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,
2022-05-20 05:03:15,,,,,,3.70,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20 05:03:21,,,,,,,,,,,,,,,,,,,3.07,,,,,,,,,,,
