"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-18 04:57:36,,,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 04:57:53,,,,,,,,,,,,,,,,,,,,,,4.68,,,,,,,,
2022-05-18 04:58:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,4.93
2022-05-18 04:58:57,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 04:59:17,,,,,,,,,,,,,,,,,4.58,,,,,,,,,,,,,
2022-05-18 04:59:38,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,
2022-05-18 05:00:16,,,,,4.78,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:01:37,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,
2022-05-18 05:01:49,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,
2022-05-18 05:01:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,
2022-05-18 05:02:27,,,,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:03:06,,,,,,,,,,,,3.07,,,,,,,,,,,,,,,,,,
2022-05-18 05:03:19,,,,,,4.78,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:03:24,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,,,
2022-05-18 05:05:18,,,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:05:41,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,
2022-05-18 05:07:31,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:07:37,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:08:08,,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,
2022-05-18 05:08:09,,,,,,,,4.70,,,,,,,,,,,,,,,,,,,,,,
2022-05-18 05:08:16,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,
2022-05-18 05:09:20,,,,,,,,,,,,,,,,,,,,5.26,,,,,,,,,,
