"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-25 11:47:17,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:47:50,,,,,,,,,,,,,,,,9.14,,,,,,,,,,,,,,
2022-05-25 11:47:57,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:48:09,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,
2022-05-25 11:49:10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
2022-05-25 11:53:12,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,
2022-05-25 11:53:32,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,
2022-05-25 11:53:50,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,
2022-05-25 11:56:03,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,,,,
2022-05-25 11:56:29,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,
2022-05-25 11:56:37,,,,,,,,,,9.80,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:57:26,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:57:43,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,
2022-05-25 11:58:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-25 11:58:40,,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 11:59:30,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,
2022-05-25 11:59:55,,,,,8.81,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:01:14,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
2022-05-25 12:01:31,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,
2022-05-25 12:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
2022-05-25 12:02:32,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:02:56,,,,,,,,,,,,8.79,,,,,,,,,,,,,,,,,,
2022-05-25 12:03:01,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:03:13,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
2022-05-25 12:05:00,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:05:37,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,
2022-05-25 12:07:17,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:07:27,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:07:50,,,,,,,,,,,,,,,,9.15,,,,,,,,,,,,,,
2022-05-25 12:07:57,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:08:09,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,
2022-05-25 12:09:03,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,
