"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-24 19:07:19,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:07:28,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:07:52,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,
2022-05-24 19:07:58,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:08:10,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,
2022-05-24 19:09:04,,,,,,,,,,,,,,,,,,,,9.28,,,,,,,,,,
2022-05-24 19:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,
2022-05-24 19:13:13,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,
2022-05-24 19:13:32,,,,,,,,,,,,,,,,,,,,,,,9.59,,,,,,,
2022-05-24 19:13:51,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,
2022-05-24 19:16:04,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,
2022-05-24 19:16:31,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,
2022-05-24 19:16:38,,,,,,,,,,9.87,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:17:27,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:17:44,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,
2022-05-24 19:18:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-24 19:18:42,,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:19:26,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,
2022-05-24 19:19:31,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,
2022-05-24 19:19:57,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:21:16,,,,,,,,,,,,,,,,,,,,,,,,,,9.83,,,,
2022-05-24 19:21:33,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,
2022-05-24 19:21:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,
2022-05-24 19:22:32,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:22:57,,,,,,,,,,,,8.72,,,,,,,,,,,,,,,,,,
2022-05-24 19:23:03,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:23:14,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,
2022-05-24 19:25:01,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:25:37,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,
2022-05-24 19:27:19,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:27:28,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:27:51,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,
2022-05-24 19:27:58,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:28:10,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,
2022-05-24 19:29:04,,,,,,,,,,,,,,,,,,,,9.27,,,,,,,,,,
2022-05-24 19:29:10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,
2022-05-24 19:33:13,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,
2022-05-24 19:33:32,,,,,,,,,,,,,,,,,,,,,,,9.59,,,,,,,
2022-05-24 19:33:51,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,
2022-05-24 19:36:04,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,
2022-05-24 19:36:31,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,
2022-05-24 19:37:27,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:37:44,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,
2022-05-24 19:38:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-24 19:38:42,,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:39:31,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,
2022-05-24 19:39:57,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:41:16,,,,,,,,,,,,,,,,,,,,,,,,,,9.76,,,,
2022-05-24 19:41:33,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,
2022-05-24 19:41:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,
2022-05-24 19:42:31,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,
2022-05-24 19:42:57,,,,,,,,,,,,8.62,,,,,,,,,,,,,,,,,,
2022-05-24 19:43:03,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,
