"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-16 17:43:07,,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,
2022-05-16 17:43:23,,,,,,6.49,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:43:27,,,,,,,,,,,,,,,,,,,6.39,,,,,,,,,,,
2022-05-16 17:45:22,,,,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:45:42,,,,,,,,,,,,,,,6.56,,,,,,,,,,,,,,,
2022-05-16 17:47:34,,,,,,,7.18,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:47:40,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:48:12,,,,,,,,7.11,,,,,,,,6,,,,,,,,,,,,,,
2022-05-16 17:48:18,,,,,,,,,,,,,6.63,,,,,,,,,,,,,,,,,
2022-05-16 17:49:24,,,,,,,,,,,,,,,,,,,,6.92,,,,,,,6.60,,,
2022-05-16 17:53:17,,,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,,
2022-05-16 17:53:38,,,,,,,,,,,,,,,,,,,,,,,6.73,,,,,,,
2022-05-16 17:54:09,,,,,,,,,,,,,,,,,,,,,,,,,6.71,,,,,
2022-05-16 17:56:17,,,,,,,,,,,,,,,,,,,,,6.78,,,,,,,,,
2022-05-16 17:56:48,,,,,,,,,,,,,,,,,,,,,,,,7.27,,,,,,
2022-05-16 17:56:56,,,,,,,,,,6.31,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:57:38,,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:57:55,,,,,,,,,,,,,,,,,,,,,,6.40,,,,,,,,
2022-05-16 17:58:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,6.47
2022-05-16 17:59:00,,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 17:59:40,,,,,,,,,,,,,,7.30,,,,,,,,,,,,,,,,
2022-05-16 18:00:21,,,,,7.39,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 18:01:41,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,,,,
2022-05-16 18:01:52,,,,,,,,,,,6.17,,,,,,,,,,,,,,,,,,,
2022-05-16 18:02:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,,
2022-05-16 18:02:26,,,,,,,,,6.56,,,,,,,,,,,,,,,,,,,,,
2022-05-16 18:03:07,,,,,,,,,,,,4.92,,,,,,,,,,,,,,,,,,
2022-05-16 18:03:23,,,,,,6.50,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 18:03:27,,,,,,,,,,,,,,,,,,,6.40,,,,,,,,,,,
2022-05-16 18:05:22,,,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 18:05:42,,,,,,,,,,,,,,,6.56,,,,,,,,,,,,,,,
2022-05-16 18:07:33,,,,,,,7.19,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 18:07:40,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
